,instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,optionType
81,27719,BANKNIFTY,,2.9,11NOV21,36200.0,0.05,25,OI,FO,NSE,,1,48478,PE
82,27723,BANKNIFTY,,3163.45,11NOV21,36300.0,0.05,25,OI,FO,NSE,,1,48479,CE
83,27724,BANKNIFTY,,3.2,11NOV21,36300.0,0.05,25,OI,FO,NSE,,1,48480,PE
84,27730,BANKNIFTY,,3256.4,11NOV21,36400.0,0.05,25,OI,FO,NSE,,1,48483,CE
85,27734,BANKNIFTY,,3.5,11NOV21,36400.0,0.05,25,OI,FO,NSE,,1,48486,PE
86,27739,BANKNIFTY,,2980.95,11NOV21,36500.0,0.05,25,OI,FO,NSE,,1,48487,CE
87,27743,BANKNIFTY,,3.6,11NOV21,36500.0,0.05,25,OI,FO,NSE,,1,48488,PE
88,27760,BANKNIFTY,,2726.65,11NOV21,36600.0,0.05,25,OI,FO,NSE,,1,48493,CE
89,27761,BANKNIFTY,,3.8,11NOV21,36600.0,0.05,25,OI,FO,NSE,,1,48494,PE
90,27762,BANKNIFTY,,3232.85,11NOV21,36700.0,0.05,25,OI,FO,NSE,,1,48497,CE
91,27764,BANKNIFTY,,3.85,11NOV21,36700.0,0.05,25,OI,FO,NSE,,1,48498,PE
92,27765,BANKNIFTY,,2700.0,11NOV21,36800.0,0.05,25,OI,FO,NSE,,1,48499,CE
93,27766,BANKNIFTY,,3.85,11NOV21,36800.0,0.05,25,OI,FO,NSE,,1,48500,PE
94,27767,BANKNIFTY,,2036.35,11NOV21,36900.0,0.05,25,OI,FO,NSE,,1,48503,CE
95,27768,BANKNIFTY,,4.25,11NOV21,36900.0,0.05,25,OI,FO,NSE,,1,48504,PE
96,27769,BANKNIFTY,,2376.15,11NOV21,37000.0,0.05,25,OI,FO,NSE,,1,48508,CE
97,27771,BANKNIFTY,,4.5,11NOV21,37000.0,0.05,25,OI,FO,NSE,,1,48509,PE
98,27772,BANKNIFTY,,2620.3,11NOV21,37100.0,0.05,25,OI,FO,NSE,,1,48524,CE
99,27773,BANKNIFTY,,4.8,11NOV21,37100.0,0.05,25,OI,FO,NSE,,1,48525,PE
100,27774,BANKNIFTY,,2200.0,11NOV21,37200.0,0.05,25,OI,FO,NSE,,1,48526,CE
101,27786,BANKNIFTY,,4.8,11NOV21,37200.0,0.05,25,OI,FO,NSE,,1,48527,PE
102,27796,BANKNIFTY,,2120.0,11NOV21,37300.0,0.05,25,OI,FO,NSE,,1,48530,CE
103,27799,BANKNIFTY,,5.15,11NOV21,37300.0,0.05,25,OI,FO,NSE,,1,48531,PE
104,27807,BANKNIFTY,,2000.0,11NOV21,37400.0,0.05,25,OI,FO,NSE,,1,48536,CE
105,27808,BANKNIFTY,,5.6,11NOV21,37400.0,0.05,25,OI,FO,NSE,,1,48541,PE
106,27829,BANKNIFTY,,1865.0,11NOV21,37500.0,0.05,25,OI,FO,NSE,,1,48542,CE
107,27836,BANKNIFTY,,6.25,11NOV21,37500.0,0.05,25,OI,FO,NSE,,1,48543,PE
108,27840,BANKNIFTY,,1915.35,11NOV21,37600.0,0.05,25,OI,FO,NSE,,1,48544,CE
109,27841,BANKNIFTY,,7.1,11NOV21,37600.0,0.05,25,OI,FO,NSE,,1,48548,PE
110,27845,BANKNIFTY,,1715.0,11NOV21,37700.0,0.05,25,OI,FO,NSE,,1,48549,CE
111,27846,BANKNIFTY,,7.95,11NOV21,37700.0,0.05,25,OI,FO,NSE,,1,48551,PE
112,27849,BANKNIFTY,,1603.35,11NOV21,37800.0,0.05,25,OI,FO,NSE,,1,48552,CE
113,27850,BANKNIFTY,,9.15,11NOV21,37800.0,0.05,25,OI,FO,NSE,,1,48553,PE
114,27851,BANKNIFTY,,1696.3,11NOV21,37900.0,0.05,25,OI,FO,NSE,,1,48554,CE
115,27852,BANKNIFTY,,10.3,11NOV21,37900.0,0.05,25,OI,FO,NSE,,1,48555,PE
116,27853,BANKNIFTY,,1465.7,11NOV21,38000.0,0.05,25,OI,FO,NSE,,1,48556,CE
117,27854,BANKNIFTY,,12.1,11NOV21,38000.0,0.05,25,OI,FO,NSE,,1,48557,PE
118,27855,BANKNIFTY,,1356.95,11NOV21,38100.0,0.05,25,OI,FO,NSE,,1,48558,CE
119,27856,BANKNIFTY,,14.05,11NOV21,38100.0,0.05,25,OI,FO,NSE,,1,48559,PE
120,27857,BANKNIFTY,,1244.9,11NOV21,38200.0,0.05,25,OI,FO,NSE,,1,48560,CE
121,27858,BANKNIFTY,,17.0,11NOV21,38200.0,0.05,25,OI,FO,NSE,,1,48561,PE
122,27859,BANKNIFTY,,1191.95,11NOV21,38300.0,0.05,25,OI,FO,NSE,,1,48566,CE
123,27860,BANKNIFTY,,20.85,11NOV21,38300.0,0.05,25,OI,FO,NSE,,1,48567,PE
124,27861,BANKNIFTY,,1069.9,11NOV21,38400.0,0.05,25,OI,FO,NSE,,1,48568,CE
125,27862,BANKNIFTY,,25.35,11NOV21,38400.0,0.05,25,OI,FO,NSE,,1,48569,PE
126,27863,BANKNIFTY,,972.0,11NOV21,38500.0,0.05,25,OI,FO,NSE,,1,48572,CE
127,27865,BANKNIFTY,,31.8,11NOV21,38500.0,0.05,25,OI,FO,NSE,,1,48573,PE
128,27866,BANKNIFTY,,900.15,11NOV21,38600.0,0.05,25,OI,FO,NSE,,1,48582,CE
129,27867,BANKNIFTY,,41.0,11NOV21,38600.0,0.05,25,OI,FO,NSE,,1,48583,PE
130,27869,BANKNIFTY,,810.2,11NOV21,38700.0,0.05,25,OI,FO,NSE,,1,48584,CE
131,27872,BANKNIFTY,,52.05,11NOV21,38700.0,0.05,25,OI,FO,NSE,,1,48585,PE
132,27873,BANKNIFTY,,715.35,11NOV21,38800.0,0.05,25,OI,FO,NSE,,1,48589,CE
133,27874,BANKNIFTY,,65.05,11NOV21,38800.0,0.05,25,OI,FO,NSE,,1,48591,PE
134,27883,BANKNIFTY,,624.65,11NOV21,38900.0,0.05,25,OI,FO,NSE,,1,48592,CE
135,27889,BANKNIFTY,,81.75,11NOV21,38900.0,0.05,25,OI,FO,NSE,,1,48593,PE
136,27890,BANKNIFTY,,537.25,11NOV21,39000.0,0.05,25,OI,FO,NSE,,1,48594,CE
